Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source,,
14,Eastern Africa,2015,Balance imports/exports (millions of US dollars),,,-53735,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2018,Balance imports/exports (millions of US dollars),,,-52013,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2019,Balance imports/exports (millions of US dollars),,,-50241,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2020,Balance imports/exports (millions of US dollars),,,-41385,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,1995,Imports CIF (millions of US dollars),,,5412,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2005,Imports CIF (millions of US dollars),,,18680,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2010,Imports CIF (millions of US dollars),,,43623,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2015,Imports CIF (millions of US dollars),,,56081,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2018,Imports CIF (millions of US dollars),,,41324,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2019,Imports CIF (millions of US dollars),,,50981,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2020,Imports CIF (millions of US dollars),,,61885,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,1995,Exports FOB (millions of US dollars),,,10954,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2005,Exports FOB (millions of US dollars),,,48958,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2010,Exports FOB (millions of US dollars),,,90717,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2015,Exports FOB (millions of US dollars),,,70653,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2018,Exports FOB (millions of US dollars),,,89991,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2019,Exports FOB (millions of US dollars),,,81998,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2020,Exports FOB (millions of US dollars),,,108968,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,1995,Balance imports/exports (millions of US dollars),,,5542,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2005,Balance imports/exports (millions of US dollars),,,30278,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2010,Balance imports/exports (millions of US dollars),,,47094,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2015,Balance imports/exports (millions of US dollars),,,14572,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2018,Balance imports/exports (millions of US dollars),,,48667,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2019,Balance imports/exports (millions of US dollars),,,31018,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
17,Middle Africa,2020,Balance imports/exports (millions of US dollars),,,47083,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,1995,Imports CIF (millions of US dollars),,,26745,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2005,Imports CIF (millions of US dollars),,,63786,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2010,Imports CIF (millions of US dollars),,,97723,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2015,Imports CIF (millions of US dollars),,,104174,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
