Region/Country/Area,,Year,Series,Value,Footnotes,Source
36,Australia,2010,Emissions (thousand metric tons of carbon dioxide),383364,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2015,Emissions (thousand metric tons of carbon dioxide),372446,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2016,Emissions (thousand metric tons of carbon dioxide),380576,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2017,Emissions (thousand metric tons of carbon dioxide),383785,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2018,Emissions (thousand metric tons of carbon dioxide),382879,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,1975,Emissions per capita (metric tons of carbon dioxide),12.8,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,1985,Emissions per capita (metric tons of carbon dioxide),13.9,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2005,Emissions per capita (metric tons of carbon dioxide),18.1,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2010,Emissions per capita (metric tons of carbon dioxide),17.4,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2015,Emissions per capita (metric tons of carbon dioxide),15.6,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2016,Emissions per capita (metric tons of carbon dioxide),15.7,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2017,Emissions per capita (metric tons of carbon dioxide),15.6,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2018,Emissions per capita (metric tons of carbon dioxide),15.3,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,1975,Emissions (thousand metric tons of carbon dioxide),49489,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,1985,Emissions (thousand metric tons of carbon dioxide),52649,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2005,Emissions (thousand metric tons of carbon dioxide),74439,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2010,Emissions (thousand metric tons of carbon dioxide),68337,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2015,Emissions (thousand metric tons of carbon dioxide),61452,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2016,Emissions (thousand metric tons of carbon dioxide),61665,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2017,Emissions (thousand metric tons of carbon dioxide),64118,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2018,Emissions (thousand metric tons of carbon dioxide),61468,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,1975,Emissions per capita (metric tons of carbon dioxide),6.5,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,1985,Emissions per capita (metric tons of carbon dioxide),7,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2005,Emissions per capita (metric tons of carbon dioxide),9.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2010,Emissions per capita (metric tons of carbon dioxide),8.2,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2015,Emissions per capita (metric tons of carbon dioxide),7.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2016,Emissions per capita (metric tons of carbon dioxide),7.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2017,Emissions per capita (metric tons of carbon dioxide),7.3,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
40,Austria,2018,Emissions per capita (metric tons of carbon dioxide),7,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2005,Emissions (thousand metric tons of carbon dioxide),29018,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2010,Emissions (thousand metric tons of carbon dioxide),23532,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2015,Emissions (thousand metric tons of carbon dioxide),30806,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2016,Emissions (thousand metric tons of carbon dioxide),31409,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2017,Emissions (thousand metric tons of carbon dioxide),30806,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2018,Emissions (thousand metric tons of carbon dioxide),30947,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2005,Emissions per capita (metric tons of carbon dioxide),3.5,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2010,Emissions per capita (metric tons of carbon dioxide),2.6,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2015,Emissions per capita (metric tons of carbon dioxide),3.2,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2016,Emissions per capita (metric tons of carbon dioxide),3.2,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2017,Emissions per capita (metric tons of carbon dioxide),3.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
31,Azerbaijan,2018,Emissions per capita (metric tons of carbon dioxide),3.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,1975,Emissions (thousand metric tons of carbon dioxide),5230,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,1985,Emissions (thousand metric tons of carbon dioxide),9100,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2005,Emissions (thousand metric tons of carbon dioxide),20565,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2010,Emissions (thousand metric tons of carbon dioxide),25552,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2015,Emissions (thousand metric tons of carbon dioxide),30073,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2016,Emissions (thousand metric tons of carbon dioxide),29639,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2017,Emissions (thousand metric tons of carbon dioxide),29814,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2018,Emissions (thousand metric tons of carbon dioxide),30188,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,1975,Emissions per capita (metric tons of carbon dioxide),19.6,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,1985,Emissions per capita (metric tons of carbon dioxide),21.7,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2005,Emissions per capita (metric tons of carbon dioxide),23.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2010,Emissions per capita (metric tons of carbon dioxide),20.6,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
48,Bahrain,2015,Emissions per capita (metric tons of carbon dioxide),21.9,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
