Region/Country/Area,,Year,Series,National currency,National currency footnote,Value,Footnotes,Source
20,Andorra,2005,Exchange rates: period average (national currency per US dollar),,,0.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2010,Exchange rates: period average (national currency per US dollar),,,0.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2015,Exchange rates: period average (national currency per US dollar),,,0.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2017,Exchange rates: period average (national currency per US dollar),,,0.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2018,Exchange rates: period average (national currency per US dollar),,,0.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2019,Exchange rates: period average (national currency per US dollar),,,0.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2020,Exchange rates: period average (national currency per US dollar),,,0.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,1995,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,0,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2005,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,80.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2010,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,92.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2015,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,135.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2017,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,165.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2018,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,308.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2019,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,482.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2020,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,656.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,1995,Exchange rates: period average (national currency per US dollar),,,0,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2005,Exchange rates: period average (national currency per US dollar),,,87.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2010,Exchange rates: period average (national currency per US dollar),,,91.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
